price,distance_to_city_center,rooms,size
191.565,2.4,1,19.35
221.568,2.4,2,13.08
185.936,5,1,24.66
275.502,1.9,1,24.82
241.205,1.9,1,25.39
193.052,5.9,1,25.54
231.861,3,1,25.62
151.757,9,1,26.04
172.003,8.4,1,26.26
175.952,8.4,1,26.26
234.08,2.5,1,26.6
185.967,6.7,1,26.87
185.025,8.5,1,27.85
261.884,2.4,2,27.86
235.8,3.4,1,27.93
357.511,2.3,1,28.32
287.1,1.4,3,29
297.605,2,1,29.91
292.882,1.9,2,30.83
234.432,6.3,2,31.68
232.113,5.9,2,32.02
209.43,7.4,2,32.22
272.844,2.7,2,34.32
223.08,7.4,2,34.32
290.739,4,2,34.78
224.064,7.6,2,35.01
241.215,7.1,2,37.11
299.28,4.9,2,37.41
255.42,5.5,2,38.7
287,1.5,3,29
234.735,8.7,3,45.15
349.233,2.5,3,48.17
272.227,9,3,48.52
325.777,6.4,3,49.42
360.418,5.7,3,49.44
459.993,3.8,3,50.91
321.98,7.6,3,51.9
393,4.1,3,52.4
375.852,3.4,3,52.7
427.023,4.7,3,53.61
339.129,7.4,3,53.83
350.9,7.4,3,53.86
409.836,2.9,3,54.18
334.89,7.7,3,54.9
389.932,4.4,3,54.92
417,5.3,3,54.97
413.25,6.7,3,55.1
451.245,4.4,4,67.35
504.589,4.1,4,67.73
418.46,9.2,4,68.6
455.65,5.1,4,70.1
614.809,4,4,70.16
485.261,6,4,70.81
495.489,4.4,4,71.81
555,4.6,4,72.02
714.183,1.8,4,74.36
521.571,5.3,4,75.59
529.753,3.3,4,75.92
680.6,2.7,5,83
680,5.9,5,85.09
464.18,8,5,86.86
483.505,7.6,5,87.91
692.712,7.1,5,96.21
782.1,3,5,99
700,6.6,5,100.88
808.144,3.5,5,106.96
292.885,1.9,2,30.83
229.09,6,2,36.95
285.048,4.4,2,39.59
287.6,5.4,2,40.69
284.625,6.3,2,41.25
325,5.4,2,41.31
373.088,3,2,41.94
177.702,11.3,1,34.18
264.11,4,2,34.3
242.52,6.4,2,34.4
